No,Classification,label,notation,easting,northing,lat,long,easting_count,northing_count,coordinate,wiskiID,dateOpened,datum,boreholeDepth,aquifer,dipped,logged,amount_dipped,start_dipped,end_dipped,amount_logged,start_logged,end_logged,CHARACTER,FLOW_MECHA,Elevation,distance,Top aquifer
11,Slow decreasing,Spoondell,6aead97c-0040-4e31-889d-01f628faf990,500937,221009,51.878516,-0.535068,1,1,,TL02_91,9/8/1981,170.49,49.5,Chalk,http://environment.data.gov.uk/hydrology/id/measures/6aead97c-0040-4e31-889d-01f628faf990-gw-dipped-i-mAOD-qualified,,417,9/8/1981,11/8/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,171.292572,23340.23489,Chalk
12,Slow increasing,Old Mill Farm B,612c3415-f3fe-4567-87e8-d343cd78fbf0_441320032,555703,171203,51.418458,0.237832,2,2,same,441320032,7/3/1996,13.65,,,http://environment.data.gov.uk/hydrology/id/measures/612c3415-f3fe-4567-87e8-d343cd78fbf0_441320032-gw-dipped-i-mAOD-qualified,,444,7/3/1996,11/3/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,14.39601612,12250.68551,Lower Greensand
13,No trend,Old Mill Farm T,612c3415-f3fe-4567-87e8-d343cd78fbf0_441320033,555703,171203,51.418458,0.237832,2,2,same,441320033,7/3/1996,14.42,,,http://environment.data.gov.uk/hydrology/id/measures/612c3415-f3fe-4567-87e8-d343cd78fbf0_441320033-gw-dipped-i-mAOD-qualified,,426,7/3/1996,11/3/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,14.39601612,12250.68551,Lower Greensand
14,,North Stoke,874af2fb-01ad-49d7-9f19-66ac3f81af32,504055,111145,50.890425,-0.521948,1,1,,244130022,2/12/2002,81.52,91.5,Chalk Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/874af2fb-01ad-49d7-9f19-66ac3f81af32-gw-dipped-i-mAOD-qualified,,257,2/12/2002,1/18/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,81.01052094,12827.74067,Chalk
15,,Newlands Corner,8b4ac0c3-2c32-4a99-badc-ffc5f29937a7,504229,149246,51.232887,-0.50851,1,1,,TQ04_74,3/12/2010,,,Chalk,,http://environment.data.gov.uk/hydrology/id/measures/8b4ac0c3-2c32-4a99-badc-ffc5f29937a7-gw-logged-i-subdaily-mAOD-qualified,,,,196615,3/12/2010,3/13/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,171.5480652,7172.744486,Lower Greensand
16,No trend,Grange Farm West Wratting,9a6ac583-0119-47dc-8fb5-ceca5bd64701,559541,251790,52.141359,0.329989,1,1,,TL55_141,4/15/1983,95.38,,,http://environment.data.gov.uk/hydrology/id/measures/9a6ac583-0119-47dc-8fb5-ceca5bd64701-gw-dipped-i-mAOD-qualified,,460,4/15/1983,1/8/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,94.82769775,56578.61324,Chalk
17,No trend,Lea Farm,dabd21c4-9859-4ff5-9fef-d3c87b599c13,380705,303245,52.626608,-2.286477,1,1,,0218GW,6/3/1977,92.76,,,http://environment.data.gov.uk/hydrology/id/measures/dabd21c4-9859-4ff5-9fef-d3c87b599c13-gw-dipped-i-mAOD-qualified,,551,6/3/1977,9/25/2019,,,,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,92.50495148,491.7522199,Triassic sandstones
18,,Ingleby,457093ef-ac0a-491d-811f-64f6463a16a0,434675,326585,52.835662,-1.486714,1,1,,1917GW,10/30/2002,74.58,,,http://environment.data.gov.uk/hydrology/id/measures/457093ef-ac0a-491d-811f-64f6463a16a0-gw-dipped-i-mAOD-qualified,,243,10/30/2002,1/17/2024,,,,Highly productive aquifer,Significant intergranular flow,74.46276855,16.30019278,Triassic sandstones
19,No trend,Thames Head,09a754a3-62c0-4831-abe0-483948ea127f,398635,198815,51.688083,-2.021137,1,1,,ST99_53,3/21/1962,107.98,10,Great Oolite,http://environment.data.gov.uk/hydrology/id/measures/09a754a3-62c0-4831-abe0-483948ea127f-gw-dipped-i-mAOD-qualified,,745,3/21/1962,1/15/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,108.0771637,5501.01399,Oolites
20,,Moss Edge Farm,b9140362-747d-4350-b55f-3b741ec6d8ab,343971,449275,53.936531,-2.854924,1,1,,SD44_15,10/2/1961,4.99,44.8,Sherwood Sandstone,,http://environment.data.gov.uk/hydrology/id/measures/b9140362-747d-4350-b55f-3b741ec6d8ab-gw-logged-i-subdaily-mAOD-qualified,,,,124818,10/2/1961,9/19/2023,Highly productive aquifer,Significant intergranular flow,5.284296989,4736.840749,Triassic sandstones
21,Slow increasing,East Leake,3a9317a1-7eaa-4539-9bdd-8a187ff17c0d,455875,328555,52.851593,-1.171711,1,1,,1655GW,8/3/1979,79.89,,,http://environment.data.gov.uk/hydrology/id/measures/3a9317a1-7eaa-4539-9bdd-8a187ff17c0d-gw-dipped-i-mAOD-qualified,,598,8/3/1979,1/4/2024,,,,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,63.97527313,4703.708017,Triassic sandstones
22,,Nuttalls Farm,1b7e2cfb-c038-49bf-b380-6c0d7ec5bb8b,406655,301115,52.607767,-1.903152,1,1,,1203GW,7/23/2014,141.79,,,,http://environment.data.gov.uk/hydrology/id/measures/1b7e2cfb-c038-49bf-b380-6c0d7ec5bb8b-gw-logged-i-subdaily-mAOD-qualified,,,,76289,7/23/2014,4/6/2023,Highly productive aquifer,Significant intergranular flow,140.7547455,1496.341046,Triassic sandstones
23,Slow increasing,Roman Road,1cdd6e48-7bcb-4f32-b8a8-3500a8a352b0,346853,242483,52.078135,-2.776907,1,1,,5526GW,1/25/1973,,,,,http://environment.data.gov.uk/hydrology/id/measures/1cdd6e48-7bcb-4f32-b8a8-3500a8a352b0-gw-logged-i-subdaily-mAOD-qualified,,,,369399,1/25/1973,12/18/2023,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,67.17160034,7593.974383,#N/A
24,Slow decreasing,Hyde Cottages Risby,ea15dfcd-00b7-41d9-91b6-c4fc325d9cb8,581533,266142,52.263468,0.658696,1,1,,TL86_006,11/23/1967,65.38,,,http://environment.data.gov.uk/hydrology/id/measures/ea15dfcd-00b7-41d9-91b6-c4fc325d9cb8-gw-dipped-i-mAOD-qualified,,536,11/23/1967,1/4/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,65.16894531,64958.21335,Lower Greensand
25,Sudden upward change,North Plantation,1495a14c-d5d6-40fc-8af5-bde4773e781d,578560,259851,52.207941,0.611861,1,1,,TL75_009,8/15/1984,107.05,,,http://environment.data.gov.uk/hydrology/id/measures/1495a14c-d5d6-40fc-8af5-bde4773e781d-gw-dipped-i-mAOD-qualified,,381,8/15/1984,3/20/2020,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,106.7295685,66711.01306,Lower Greensand
26,No trend,Warnford Estate,586fd8ee-afc0-46e1-9eda-cea9725c0ea1,462135,122295,50.9967,-1.115951,1,1,,142803857,10/24/1988,68.36,19.1,West Melbury Marly Chalk,http://environment.data.gov.uk/hydrology/id/measures/586fd8ee-afc0-46e1-9eda-cea9725c0ea1-gw-dipped-i-mAOD-qualified,,190,10/24/1988,10/24/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,68.60781097,39634.65272,Chalk
27,No trend,Kemps Drift,9610f73b-f3af-4ede-b4e7-ec615e7ab5a2,448933,465244,54.080785,-1.253548,1,1,,SE46KMP2RD,7/20/1992,12.03,,RD,http://environment.data.gov.uk/hydrology/id/measures/9610f73b-f3af-4ede-b4e7-ec615e7ab5a2-gw-dipped-i-mAOD-qualified,,349,7/20/1992,12/21/2023,,,,Highly productive aquifer,Significant intergranular flow,11.51841831,2098.813414,Triassic sandstones
28,,Hungerdowns Farm,ea3a67b3-3b5f-4ad0-ab68-5e45b7d288a2,607216,229729,51.927485,1.012393,1,1,,TM02_791,6/14/1974,37.17,,,http://environment.data.gov.uk/hydrology/id/measures/ea3a67b3-3b5f-4ad0-ab68-5e45b7d288a2-gw-dipped-i-mAOD-qualified,,557,6/14/1974,1/17/2024,,,,Rocks with essentially no groundwater,,36.98066711,73219.5829,Chalk
29,,Caldecote Farm,83f8884f-6268-46fa-aca9-2ccc0155518a,574796,303460,52.600799,0.57959,1,1,,TF70_130,8/7/1995,10.86,,,http://environment.data.gov.uk/hydrology/id/measures/83f8884f-6268-46fa-aca9-2ccc0155518a-gw-dipped-i-mAOD-qualified,,239,8/7/1995,7/7/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,9.904882431,45218.7041,Chalk
30,No trend,Jackaments Bottom,961c43fb-11e5-4b9a-8b73-c99d72146663,396769,197268,51.674166,-2.048116,1,1,,ST99_63,1/13/1974,106.62,91,Inferior Oolite,http://environment.data.gov.uk/hydrology/id/measures/961c43fb-11e5-4b9a-8b73-c99d72146663-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/961c43fb-11e5-4b9a-8b73-c99d72146663-gw-logged-i-subdaily-mAOD-qualified,1628,1/13/1974,11/27/2023,279351,4/24/1992,3/13/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,105.9273071,3601.596885,Oolites
31,,Ponyfield,c80a1d8e-8c0d-4547-85c5-dc70147c2cd6,466175,397145,53.466884,-1.004626,1,1,,1776GW,1/6/1977,8.68,,,http://environment.data.gov.uk/hydrology/id/measures/c80a1d8e-8c0d-4547-85c5-dc70147c2cd6-gw-dipped-i-mAOD-qualified,,523,1/6/1977,1/10/2024,,,,Highly productive aquifer,Significant intergranular flow,10.55609322,6872.74205,Triassic sandstones
32,,Lydeards Hill,09ce1fe7-a39d-444b-9c7e-51a841e3d1f3,317966,134021,51.099598,-3.172945,1,1,,91613401,5/29/1992,,,,http://environment.data.gov.uk/hydrology/id/measures/09ce1fe7-a39d-444b-9c7e-51a841e3d1f3-gw-dipped-i-mAOD-qualified,,348,5/29/1992,1/19/2024,,,,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,348.3624268,542.04884,#N/A
33,,Sutton Top Field Spinney,ff0dd675-9937-42a2-a75c-5df6e369004b_3_032,509075,300045,52.587267,-0.391421,1,1,,3_032,3/25/1998,22.18,,Lincolnshire Limestone,http://environment.data.gov.uk/hydrology/id/measures/ff0dd675-9937-42a2-a75c-5df6e369004b_3_032-gw-dipped-i-mAOD-qualified,,300,3/25/1998,1/9/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,19.1858139,4375.472022,Oolites
34,,Sutton Heath Road,ff0dd675-9937-42a2-a75c-5df6e369004b_3_034,509035,300235,52.588982,-0.391949,1,1,,3_034,3/25/1998,23.58,,Lincolnshire Limestone,http://environment.data.gov.uk/hydrology/id/measures/ff0dd675-9937-42a2-a75c-5df6e369004b_3_034-gw-dipped-i-mAOD-qualified,,281,3/25/1998,1/9/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,22.71084213,4196.100668,Oolites
35,No trend,Woore,149446b9-58b0-44d5-afa5-c6f7b8c9c873,373135,342345,52.977763,-2.401535,1,1,,0447GW,7/14/1982,148.26,,,http://environment.data.gov.uk/hydrology/id/measures/149446b9-58b0-44d5-afa5-c6f7b8c9c873-gw-dipped-i-mAOD-qualified,,380,7/14/1982,11/28/2023,,,,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,148.4021606,812.3076188,Triassic sandstones
36,,Hurdcott,953dc0e6-a23e-49a9-a7b6-1e33675b470d,416690,133770,51.102988,-1.762997,1,1,,90113409,11/27/2002,,,,,http://environment.data.gov.uk/hydrology/id/measures/953dc0e6-a23e-49a9-a7b6-1e33675b470d-gw-logged-i-subdaily-mAOD-qualified,,,,554278,11/27/2002,3/13/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,55.37200928,9082.651174,Chalk
37,,Hursley,bcd03a7a-58ba-4eb8-a6e8-cf3ba5f18628,442828,124850,51.021431,-1.390752,1,1,,142207775,2/26/1987,46.86,32.8,Spetisbury Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/bcd03a7a-58ba-4eb8-a6e8-cf3ba5f18628-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/bcd03a7a-58ba-4eb8-a6e8-cf3ba5f18628-gw-logged-i-subdaily-mAOD-qualified,241,2/26/1987,6/12/2023,184546,1/27/2003,2/16/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,46.95320892,34410.98655,Chalk
38,No trend,Blowing Stone Cottage,614b0d21-b4c6-4640-8814-7d200002debb,432320,187560,51.585969,-1.534902,1,1,,SU38_1B,3/18/1965,127.5,18,Upper Greensand,http://environment.data.gov.uk/hydrology/id/measures/614b0d21-b4c6-4640-8814-7d200002debb-gw-dipped-i-mAOD-qualified,,1588,3/18/1965,1/17/2024,,,,Moderately productive aquifer,Significant intergranular flow,127.7728119,20226.36178,Chalk
39,,Mill Road,852b7941-5861-43b3-be69-c7d827d8e016,565789,308887,52.652362,0.44945,1,1,,TF60_049,7/20/1984,26.25,,,http://environment.data.gov.uk/hydrology/id/measures/852b7941-5861-43b3-be69-c7d827d8e016-gw-dipped-i-mAOD-qualified,,419,7/20/1984,1/2/2024,,,,Rocks with essentially no groundwater,,25.75464821,36369.13814,Oolites
40,Slow increasing,Water Acre,ead414df-153e-495c-938a-96a85655809a,425845,177785,51.498413,-1.62907,1,1,,SU27_119,2/3/1976,145.22,32,Chalk,http://environment.data.gov.uk/hydrology/id/measures/ead414df-153e-495c-938a-96a85655809a-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/ead414df-153e-495c-938a-96a85655809a-gw-logged-i-subdaily-mAOD-qualified,1450,2/3/1976,5/12/2023,202777,1/24/2001,3/13/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,145.401825,23267.64567,Chalk
41,No trend,Upavon Deep,0239b742-9636-4092-8ecd-485dbb4bc7d3_90115405,413670,155000,51.293964,-1.805328,1,2,,90115405,2/19/2002,,,,http://environment.data.gov.uk/hydrology/id/measures/0239b742-9636-4092-8ecd-485dbb4bc7d3_90115405-gw-dipped-i-mAOD-qualified,,231,2/19/2002,1/18/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,91.65601349,17866.87235,Chalk
42,No trend,Upavaon Shallow,0239b742-9636-4092-8ecd-485dbb4bc7d3_90115406,413650,155000,51.293964,-1.805615,1,2,,90115406,2/19/2002,,,,http://environment.data.gov.uk/hydrology/id/measures/0239b742-9636-4092-8ecd-485dbb4bc7d3_90115406-gw-dipped-i-mAOD-qualified,,229,2/19/2002,1/18/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,91.69874573,17849.02282,Chalk
43,,Sherburn Quarry 3,5bdcd238-08e1-4458-87a0-2fbb89005cd5,448976,432699,53.7883,-1.258096,1,1,,SE43SQ01ML,1/5/1982,32.23,,ML,http://environment.data.gov.uk/hydrology/id/measures/5bdcd238-08e1-4458-87a0-2fbb89005cd5-gw-dipped-i-mAOD-qualified,,489,1/5/1982,2/22/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,32.67578125,1035.799115,Magnesian Limestone
44,No trend,Berwick Bassett,5296be5a-dc82-40ba-8c58-71e01f485298,410831,173495,51.460324,-1.845486,1,1,,SU17_114,4/14/1975,170.28,76,Chalk,http://environment.data.gov.uk/hydrology/id/measures/5296be5a-dc82-40ba-8c58-71e01f485298-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/5296be5a-dc82-40ba-8c58-71e01f485298-gw-logged-i-subdaily-mAOD-qualified,1380,4/14/1975,5/12/2023,196790,9/25/2001,3/13/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,169.6733551,16683.86135,Chalk
45,No trend,Amotherby,b34aee74-6a3a-4543-a0b6-9a2250cdf38a,475345,473167,54.148797,-0.847945,1,1,,SE77AMP0CO,1/12/1981,45.57,,CO,http://environment.data.gov.uk/hydrology/id/measures/b34aee74-6a3a-4543-a0b6-9a2250cdf38a-gw-dipped-i-mAOD-qualified,,471,1/12/1981,1/24/2024,,,,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,45.41613007,379.2613634,Corallian Limestones
46,,Brunstead Hall,001f4847-e0d9-4431-a25d-b31c7c5119db,637010,326810,52.786771,1.513409,1,1,,TG32_760,10/13/1952,7.55,50.7,Chalk,,http://environment.data.gov.uk/hydrology/id/measures/001f4847-e0d9-4431-a25d-b31c7c5119db-gw-logged-i-subdaily-mAOD-qualified,,,,126814,10/13/1952,9/18/2023,Moderately productive aquifer,Significant intergranular flow,7.726863384,107032.5655,Crag
47,No trend,Moreton Lodge,e3e2735a-930f-48f1-8126-9f41a7bd7701,353845,323455,52.806649,-2.686111,1,1,,5003,5/11/1999,110.03,,,,http://environment.data.gov.uk/hydrology/id/measures/e3e2735a-930f-48f1-8126-9f41a7bd7701-gw-logged-i-subdaily-mAOD-qualified,,,,216708,5/11/1999,3/1/2024,Highly productive aquifer,Significant intergranular flow,109.8624115,746.4852853,Permian Sandstones
48,No trend,Bowbridge,d929f1d2-7ae8-41fe-9a29-ced07436b1f0,512480,208960,51.768021,-0.371361,1,1,,TL10_113,10/16/1991,85.34,23,Chalk,http://environment.data.gov.uk/hydrology/id/measures/d929f1d2-7ae8-41fe-9a29-ced07436b1f0-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/d929f1d2-7ae8-41fe-9a29-ced07436b1f0-gw-logged-i-subdaily-mAOD-qualified,258,10/16/1991,12/7/2023,636469,1/13/2006,3/13/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,84.69039917,35184.55843,Lower Greensand
49,No trend,Bessacar,81c80f86-c4ad-4bdf-b27c-f32f37f6bf87,459345,401015,53.502478,-1.106766,1,1,,1811GW,3/9/1981,0,,,http://environment.data.gov.uk/hydrology/id/measures/81c80f86-c4ad-4bdf-b27c-f32f37f6bf87-gw-dipped-i-mAOD-qualified,,448,3/9/1981,12/1/2023,,,,Highly productive aquifer,Significant intergranular flow,3.566347599,370.8202391,Triassic sandstones
50,,Chalton,25fd56b7-6e65-482c-90b1-a69902d88d48,473130,116050,50.939263,-0.960553,1,1,,1437001002,11/26/2003,95.02,80,Chalk Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/25fd56b7-6e65-482c-90b1-a69902d88d48-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/25fd56b7-6e65-482c-90b1-a69902d88d48-gw-logged-i-subdaily-mAOD-qualified,131,11/26/2003,11/10/2023,174415,4/6/2004,3/13/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,94.72647858,29852.02048,Chalk
51,No trend,Old Hall,d45d95d5-847b-410e-9618-69860310a1c3,617582,336920,52.885684,1.23255,1,1,,TG13_765,9/6/1984,40.3,,,http://environment.data.gov.uk/hydrology/id/measures/d45d95d5-847b-410e-9618-69860310a1c3-gw-dipped-i-mAOD-qualified,,402,9/6/1984,1/17/2024,,,,Moderately productive aquifer,Significant intergranular flow,40.27621078,85138.38674,Crag
52,Slow decreasing,Main Road Croxton,f300d0dd-d3be-49ef-af28-3f5af32cf946,587348,286367,52.443135,0.755079,1,1,,TL88_005,10/16/1972,52.01,,,http://environment.data.gov.uk/hydrology/id/measures/f300d0dd-d3be-49ef-af28-3f5af32cf946-gw-dipped-i-mAOD-qualified,,539,10/16/1972,1/2/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,51.86093903,60724.19329,Chalk
53,,Rats Pen Lane Chalk,a4b12b29-58c5-4b41-b67d-9bdb60dcf0e5,539445,382465,53.320738,0.092009,1,1,,6_079,11/11/1981,15.91,27,Lincolnshire Chalk,http://environment.data.gov.uk/hydrology/id/measures/a4b12b29-58c5-4b41-b67d-9bdb60dcf0e5-gw-dipped-i-mAOD-qualified,,470,11/11/1981,1/2/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,16.02823448,7317.009994,Chalk
54,Sudden downward change,Myddlewood,2d265b93-730b-4da9-9351-2e61781fdd18,346045,323415,52.805564,-2.8018,1,1,,0263GW,1/5/1976,100.18,,,http://environment.data.gov.uk/hydrology/id/measures/2d265b93-730b-4da9-9351-2e61781fdd18-gw-dipped-i-mAOD-qualified,,551,1/5/1976,1/25/2024,,,,Highly productive aquifer,Significant intergranular flow,99.89665985,98.48645488,Triassic sandstones
55,,Slough Farm,d432e07c-df09-4c29-987a-cefe16db7154,604921,227489,51.908222,0.977731,1,1,,TM02_370,9/27/1972,34.18,,,http://environment.data.gov.uk/hydrology/id/measures/d432e07c-df09-4c29-987a-cefe16db7154-gw-dipped-i-mAOD-qualified,,305,9/27/1972,1/17/2024,,,,Rocks with essentially no groundwater,,35.01277542,70024.53291,Chalk
56,No trend,Marlston Farm,98e79ed7-ff97-4fdc-b51e-fede9c58d3bd,453385,171915,51.443713,-1.233251,1,1,,SU57_161,7/2/1973,76.42,29,Chalk,http://environment.data.gov.uk/hydrology/id/measures/98e79ed7-ff97-4fdc-b51e-fede9c58d3bd-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/98e79ed7-ff97-4fdc-b51e-fede9c58d3bd-gw-logged-i-subdaily-mAOD-qualified,1051,7/2/1973,1/26/2024,218032,5/19/1999,3/13/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,75.01563263,20962.05399,Chalk
57,,Royalty Farm,f6487e6c-c35b-4fb0-851f-37e13d945bde,393640,647458,55.720481,-2.102801,1,1,,21-0-131,12/6/1990,,,,http://environment.data.gov.uk/hydrology/id/measures/f6487e6c-c35b-4fb0-851f-37e13d945bde-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/f6487e6c-c35b-4fb0-851f-37e13d945bde-gw-logged-i-subdaily-mAOD-qualified,698,12/6/1990,10/23/2023,356067,6/27/2012,11/8/2023,Moderately productive aquifer,Significant intergranular flow,56.28503799,4198.927024,Fell Sandstone& Border Group
58,No trend,Wested Farm,9e1cff99-fda7-4e21-b8b7-74a386a20bd2,551843,166864,51.380518,0.180509,1,1,,441321005,12/10/1989,100.16,,,http://environment.data.gov.uk/hydrology/id/measures/9e1cff99-fda7-4e21-b8b7-74a386a20bd2-gw-dipped-i-mAOD-qualified,,1868,10/29/1957,12/12/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,99.65593719,14001.46388,Lower Greensand
