No,label,dipped,logged,easting,northing,lat,long,Revised aquifers,CHARACTER,FLOW_MECHA,Elevation of station,state,data amount,mean_depth,max_depth,min_depth,first year,last year,total year,cover year,classification,ts_slope (cm/year),pw_R2,windows,start year,end year,regions,5km circle,Irrigation intensity,LTA_PR
11,Spoondell,http://environment.data.gov.uk/hydrology/id/measures/6aead97c-0040-4e31-889d-01f628faf990-gw-dipped-i-mAOD-qualified,,500937,221009,51.878516,-0.535068,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,171.292572,qualified,419,43.10880112,48.602572,34.372572,10/1/1981,10/1/2023,43,43,Slow decreasing,4.017424242,0.062545762,25,10/1/1981,10/1/2005,Thames,1130.70292,101,0.452253868
12,Old Mill Farm B,http://environment.data.gov.uk/hydrology/id/measures/612c3415-f3fe-4567-87e8-d343cd78fbf0_441320032-gw-dipped-i-mAOD-qualified,,555703,171203,51.418458,0.237832,Lower Greensand,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,14.39601612,same coordinate,426,1.80379781,3.41601612,0.79601612,10/1/1995,10/1/2022 0:00,28,28,,,,,,,,,,
13,Old Mill Farm T,http://environment.data.gov.uk/hydrology/id/measures/612c3415-f3fe-4567-87e8-d343cd78fbf0_441320033-gw-dipped-i-mAOD-qualified,,555703,171203,51.418458,0.237832,Lower Greensand,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,14.39601612,same coordinate,404,1.686337902,2.91601612,1.09601612,10/1/1995,10/1/2023 0:00,29,28,,,,,,,,,,
14,North Stoke,http://environment.data.gov.uk/hydrology/id/measures/874af2fb-01ad-49d7-9f19-66ac3f81af32-gw-dipped-i-mAOD-qualified,,504055,111145,50.890425,-0.521948,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,81.01052094,qualified,247,76.15940353,80.38252094,67.66052094,10/1/2001,10/1/2023,23,23,Slow increasing,-4.992424242,0.310392581,19,10/1/2005,10/1/2023,Southern,129.5668351,1001,0.988426741
15,Newlands Corner,,http://environment.data.gov.uk/hydrology/id/measures/8b4ac0c3-2c32-4a99-badc-ffc5f29937a7-gw-logged-i-subdaily-mAOD-qualified,504229,149246,51.232887,-0.50851,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,171.5480652,qualified,3620,87.38007407,89.6621902,82.89760687,10/1/2009,10/1/2022,14,14,Slow decreasing,3.890833302,0.061787509,8,10/1/2009,10/1/2016,Thames,597.6294929,501,0.848143776
16,Grange Farm West Wratting,http://environment.data.gov.uk/hydrology/id/measures/9a6ac583-0119-47dc-8fb5-ceca5bd64701-gw-dipped-i-mAOD-qualified,,559541,251790,52.141359,0.329989,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,94.82769775,qualified,252,30.78626918,34.24769775,26.97769775,10/1/1998,10/1/2023,26,24,No trend,1.104166667,0.128486784,2,10/1/2003,10/1/2004,Anglian,79.5966272,5001,0.074835418
17,Lea Farm,http://environment.data.gov.uk/hydrology/id/measures/dabd21c4-9859-4ff5-9fef-d3c87b599c13-gw-dipped-i-mAOD-qualified,,380705,303245,52.626608,-2.286477,Triassic Sandstone,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,92.50495148,qualified,547,1.408735758,3.14495148,0.07495148,10/1/1976,10/1/2013,38,38,No trend,-0.431186869,0.017741268,38,10/1/1976,10/1/2013,Midlands,220.6293107,1001,0.355439221
18,Ingleby,http://environment.data.gov.uk/hydrology/id/measures/457093ef-ac0a-491d-811f-64f6463a16a0-gw-dipped-i-mAOD-qualified,,434675,326585,52.835662,-1.486714,Triassic Sandstone,Highly productive aquifer,Significant intergranular flow,74.46276855,qualified,109,27.22744745,29.49276855,23.44276855,10/1/2012,10/1/2023,12,11,Slow decreasing,44.1125,0.986199413,7,10/1/2012,10/1/2018,Midlands,340.5926235,1001,0.467431067
19,Thames Head,http://environment.data.gov.uk/hydrology/id/measures/09a754a3-62c0-4831-abe0-483948ea127f-gw-dipped-i-mAOD-qualified,,398635,198815,51.688083,-2.021137,Oolites,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,108.0771637,qualified,709,8.611084716,13.4971637,3.4071637,10/1/1961,10/1/2023,63,62,No trend,-1.263157895,0.177653782,63,10/1/1961,10/1/2023,Thames,191.3660449,251,0.685132479
20,Moss Edge Farm,,http://environment.data.gov.uk/hydrology/id/measures/b9140362-747d-4350-b55f-3b741ec6d8ab-gw-logged-i-subdaily-mAOD-qualified,343971,449275,53.936531,-2.854924,Triassic Sandstone,Highly productive aquifer,Significant intergranular flow,5.284296989,qualified,10050,1.315774076,3.180963656,0.294296989,10/1/1965,10/1/2022,58,58,No trend,0.009365969,0.030053245,56,10/1/1965,10/1/2020,North West,107.7348115,1,0.153373925
21,East Leake,http://environment.data.gov.uk/hydrology/id/measures/3a9317a1-7eaa-4539-9bdd-8a187ff17c0d-gw-dipped-i-mAOD-qualified,,455875,328555,52.851593,-1.171711,Triassic Sandstone,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,63.97527313,qualified,592,39.05375286,43.33527313,33.44527313,10/1/1978,10/1/2023,46,41,Slow increasing,-13.30568182,0.739688249,46,10/1/1978,10/1/2023,Midlands,248.4182633,1001,0.040074906
22,Nuttalls Farm,,http://environment.data.gov.uk/hydrology/id/measures/1b7e2cfb-c038-49bf-b380-6c0d7ec5bb8b-gw-logged-i-subdaily-mAOD-qualified,406655,301115,52.607767,-1.903152,Unallocated to aquifers,Highly productive aquifer,Significant intergranular flow,140.7547455,no enough data,no enough data,,,,,,,,,,,,,,,,,
23,Roman Road,,http://environment.data.gov.uk/hydrology/id/measures/1cdd6e48-7bcb-4f32-b8a8-3500a8a352b0-gw-logged-i-subdaily-mAOD-qualified,346853,242483,52.078135,-2.776907,Unallocated to aquifers,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,67.17160034,qualified,10817,6.53921466,10.32560034,1.641954507,10/1/1972,10/1/2023,52,52,Slow increasing,-6.058174576,0.621017401,11,10/1/1997,10/1/2007,Midlands,420.1542031,501,0.321514311
24,Hyde Cottages Risby,http://environment.data.gov.uk/hydrology/id/measures/ea15dfcd-00b7-41d9-91b6-c4fc325d9cb8-gw-dipped-i-mAOD-qualified,,581533,266142,52.263468,0.658696,Lower Greensand,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,65.16894531,qualified,231,37.1502873,43.08894531,33.41894531,10/1/1998,10/1/2023,26,23,Slow decreasing,8.1125,0.195980571,16,10/1/2000,10/1/2015,Anglian,403.1833645,5001,0.353233755
25,North Plantation,http://environment.data.gov.uk/hydrology/id/measures/1495a14c-d5d6-40fc-8af5-bde4773e781d-gw-dipped-i-mAOD-qualified,,578560,259851,52.207941,0.611861,Lower Greensand,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,106.7295685,qualified,213,41.10581263,41.7495685,40.4695685,10/1/1998,10/1/2023,26,23,No trend,-1.902631579,0.889733809,8,10/1/1998,10/1/2005,Anglian,62.53911903,5001,0.072286603
26,Warnford Estate,http://environment.data.gov.uk/hydrology/id/measures/586fd8ee-afc0-46e1-9eda-cea9725c0ea1-gw-dipped-i-mAOD-qualified,,462135,122295,50.9967,-1.115951,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,68.60781097,qualified,123,0.942445116,1.22781097,0.60781097,10/1/1991,10/1/2023,33,21,No trend,-0.985791091,0.524456204,33,10/1/1991,10/1/2023,Southern,77.16818355,101,1.064231102
27,Kemps Drift,http://environment.data.gov.uk/hydrology/id/measures/9610f73b-f3af-4ede-b4e7-ec615e7ab5a2-gw-dipped-i-mAOD-qualified,,448933,465244,54.080785,-1.253548,Triassic Sandstone,Highly productive aquifer,Significant intergranular flow,11.51841831,qualified,348,0.241346471,1.06841831,-0.18158169,10/1/1991,10/1/2023,33,33,No trend,-0.968398268,0.844403078,9,10/1/1991,10/1/1999,North East,54.82825985,251,0.301571363
28,Hungerdowns Farm,http://environment.data.gov.uk/hydrology/id/measures/ea3a67b3-3b5f-4ad0-ab68-5e45b7d288a2-gw-dipped-i-mAOD-qualified,,607216,229729,51.927485,1.012393,Chalk,Rocks with essentially no groundwater,,36.98066711,qualified,507,4.588073422,5.91066711,2.63066711,10/1/1974,10/1/2023,50,49,No trend,-0.622530864,0.087244524,28,10/1/1996,10/1/2023,Anglian,146.1015437,1001,0.172868218
29,Caldecote Farm,http://environment.data.gov.uk/hydrology/id/measures/83f8884f-6268-46fa-aca9-2ccc0155518a-gw-dipped-i-mAOD-qualified,,574796,303460,52.600799,0.57959,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,9.904882431,qualified,107,2.567779627,3.134882431,1.604882431,10/1/1995,10/1/2023,29,23,No trend,-0.224358974,0.468077012,1,10/1/1997,10/1/1997,Anglian,33.42304313,5001,0.293396989
30,Jackaments Bottom,http://environment.data.gov.uk/hydrology/id/measures/961c43fb-11e5-4b9a-8b73-c99d72146663-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/961c43fb-11e5-4b9a-8b73-c99d72146663-gw-logged-i-subdaily-mAOD-qualified,396769,197268,51.674166,-2.048116,Oolites,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,105.9273071,qualified,12224,5.478451094,13.5773071,-1.0726929,10/1/1973,10/1/2023,51,51,No trend,1.776094293,0.022230378,34,10/1/1986,10/1/2019,Thames,118.5838186,251,0.724804137
31,Ponyfield,http://environment.data.gov.uk/hydrology/id/measures/c80a1d8e-8c0d-4547-85c5-dc70147c2cd6-gw-dipped-i-mAOD-qualified,,466175,397145,53.466884,-1.004626,Triassic Sandstone,Highly productive aquifer,Significant intergranular flow,10.55609322,qualified,523,14.21460182,16.72609322,12.51609322,10/1/1976,10/1/2023,48,48,Slow increasing,-3.513047138,0.481143748,25,10/1/1997,10/1/2021,Midlands,310.8654573,1001,0.412071652
32,Lydeards Hill,http://environment.data.gov.uk/hydrology/id/measures/09ce1fe7-a39d-444b-9c7e-51a841e3d1f3-gw-dipped-i-mAOD-qualified,,317966,134021,51.099598,-3.172945,Unallocated to aquifers,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,348.3624268,qualified,321,25.27685048,34.9024268,16.3024268,10/1/1991,10/1/2023,33,32,Slow decreasing,16.40530646,0.594221791,21,10/1/1992,10/1/2012,South West,92.3557275,51,0.700069081
33,Sutton Top Field Spinney,http://environment.data.gov.uk/hydrology/id/measures/ff0dd675-9937-42a2-a75c-5df6e369004b_3_032-gw-dipped-i-mAOD-qualified,,509075,300045,52.587267,-0.391421,Oolites,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,19.1858139,qualified,266,3.883558261,4.9358139,0.8458139,10/1/1998,10/1/2023,26,26,Slow increasing,-2.524104683,0.628812485,8,10/1/2016,10/1/2023,Anglian,127.6229654,101,0.09949908
34,Sutton Heath Road,http://environment.data.gov.uk/hydrology/id/measures/ff0dd675-9937-42a2-a75c-5df6e369004b_3_034-gw-dipped-i-mAOD-qualified,,509035,300235,52.588982,-0.391949,Oolites,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,22.71084213,qualified,263,3.860804107,4.76084213,2.50084213,10/1/1998,10/1/2023,26,26,No trend,0.263020833,0.101902159,2,10/1/2018,10/1/2019,Anglian,128.0046865,101,0.09949908
35,Woore,http://environment.data.gov.uk/hydrology/id/measures/149446b9-58b0-44d5-afa5-c6f7b8c9c873-gw-dipped-i-mAOD-qualified,,373135,342345,52.977763,-2.401535,Triassic Sandstone,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,148.4021606,qualified,366,12.04669612,12.7421606,11.2021606,10/1/1981,10/1/2022,42,40,No trend,-0.082211538,0.030557745,1,10/1/2019,10/1/2019,Midlands,98.39816639,1001,0.77883711
36,Hurdcott,,http://environment.data.gov.uk/hydrology/id/measures/953dc0e6-a23e-49a9-a7b6-1e33675b470d-gw-logged-i-subdaily-mAOD-qualified,416690,133770,51.102988,-1.762997,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,55.37200928,qualified,4828,1.632006467,2.250772167,0.34919678,10/1/2007,10/1/2022,16,16,No trend,-0.207883241,0.066941487,6,10/1/2007,10/1/2012,South West,414.8000814,51,0.823832288
37,Hursley,http://environment.data.gov.uk/hydrology/id/measures/bcd03a7a-58ba-4eb8-a6e8-cf3ba5f18628-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/bcd03a7a-58ba-4eb8-a6e8-cf3ba5f18628-gw-logged-i-subdaily-mAOD-qualified,442828,124850,51.021431,-1.390752,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,46.95320892,qualified,7324,11.02740771,16.46275059,1.13445892,10/1/1986,10/1/2023,38,36,Slow increasing,-3.52834856,0.019923973,36,10/1/1988,10/1/2023,Southern,558.2721312,1,0.114923068
38,Blowing Stone Cottage,http://environment.data.gov.uk/hydrology/id/measures/614b0d21-b4c6-4640-8814-7d200002debb-gw-dipped-i-mAOD-qualified,,432320,187560,51.585969,-1.534902,Lower Greensand,Moderately productive aquifer,Significant intergranular flow,127.7728119,qualified,1475,14.3588119,18.3628119,6.5128119,10/1/1965,10/1/2023,59,52,No trend,1.069666445,0.038344677,2,10/1/1982,10/1/1983,Thames,78.76419301,51,0.439737228
39,Mill Road,http://environment.data.gov.uk/hydrology/id/measures/852b7941-5861-43b3-be69-c7d827d8e016-gw-dipped-i-mAOD-qualified,,565789,308887,52.652362,0.44945,Oolites,Rocks with essentially no groundwater,,25.75464821,qualified,246,7.633794551,8.30464821,6.72464821,10/1/1998,10/1/2023,26,24,No trend,1.10124269,0.290842398,1,10/1/1999,10/1/1999,Anglian,86.16199832,1001,0.437193355
40,Water Acre,http://environment.data.gov.uk/hydrology/id/measures/ead414df-153e-495c-938a-96a85655809a-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/ead414df-153e-495c-938a-96a85655809a-gw-logged-i-subdaily-mAOD-qualified,425845,177785,51.498413,-1.62907,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,145.401825,qualified,9202,11.46941789,24.341825,0.244408333,10/1/1975,10/1/2023,49,49,No trend,-0.266155434,0.010339308,49,10/1/1975,10/1/2023,Thames,63.91252609,51,0.83865331
41,Upavon Deep,http://environment.data.gov.uk/hydrology/id/measures/0239b742-9636-4092-8ecd-485dbb4bc7d3_90115405-gw-dipped-i-mAOD-qualified,,413670,155000,51.293964,-1.805328,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,91.65601349,qualified,227,0.919581772,2.48601349,-0.83398651,10/1/2002,10/1/2023,22,22,No trend,-0.625344353,0.057227614,14,10/1/2010,10/1/2023,South West,38.70026976,51,0.868881188
42,Upavaon Shallow,http://environment.data.gov.uk/hydrology/id/measures/0239b742-9636-4092-8ecd-485dbb4bc7d3_90115406-gw-dipped-i-mAOD-qualified,,413650,155000,51.293964,-1.805615,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,91.69874573,qualified,228,1.218219414,1.97874573,0.12874573,10/1/2002,10/1/2023,22,22,No trend,-1.141414141,0.285835154,6,10/1/2018,10/1/2023,South West,38.68250646,51,0.868881188
43,Sherburn Quarry 3,http://environment.data.gov.uk/hydrology/id/measures/5bdcd238-08e1-4458-87a0-2fbb89005cd5-gw-dipped-i-mAOD-qualified,,448976,432699,53.7883,-1.258096,Magnesian Limestone,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,32.67578125,qualified,486,15.49550759,15.86578125,14.74778125,10/1/1981,10/1/2023,43,43,No trend,-0.071829405,0.068302839,18,10/1/2006,10/1/2023,North East,209.830765,501,0.314969079
44,Berwick Bassett,http://environment.data.gov.uk/hydrology/id/measures/5296be5a-dc82-40ba-8c58-71e01f485298-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/5296be5a-dc82-40ba-8c58-71e01f485298-gw-logged-i-subdaily-mAOD-qualified,410831,173495,51.460324,-1.845486,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,169.6733551,qualified,8479,11.89865862,22.1433551,2.6391051,10/1/1974,10/1/2022,49,49,No trend,0.089795733,0.008990885,26,10/1/1996,10/1/2021,Thames,55.30039445,51,0.848423985
45,Amotherby,http://environment.data.gov.uk/hydrology/id/measures/b34aee74-6a3a-4543-a0b6-9a2250cdf38a-gw-dipped-i-mAOD-qualified,,475345,473167,54.148797,-0.847945,Triassic Sandstone,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,45.41613007,qualified,470,28.04200241,30.40613007,23.10613007,10/1/1982,10/1/2023,42,41,No trend,-1.304229798,0.156456664,29,10/1/1995,10/1/2023,North East,132.3997595,751,0.49661599
46,Brunstead Hall,,http://environment.data.gov.uk/hydrology/id/measures/001f4847-e0d9-4431-a25d-b31c7c5119db-gw-logged-i-subdaily-mAOD-qualified,637010,326810,52.786771,1.513409,Chalk,Moderately productive aquifer,Significant intergranular flow,7.726863384,qualified,4418,6.128383815,7.006863384,5.235780051,10/1/1952,10/1/2023,72,67,No trend,-0.049242424,0.062934389,21,10/1/1993,10/1/2013,Anglian,99.32532392,1001,0.337616899
47,Moreton Lodge,,http://environment.data.gov.uk/hydrology/id/measures/e3e2735a-930f-48f1-8126-9f41a7bd7701-gw-logged-i-subdaily-mAOD-qualified,353845,323455,52.806649,-2.686111,Permian Sandstone,Highly productive aquifer,Significant intergranular flow,109.8624115,qualified,7806,41.25735991,42.2345365,40.16511983,10/1/1998,10/1/2023,26,26,No trend,-0.485138962,0.007062068,24,10/1/1998,10/1/2021,Midlands,58.38724439,1001,0.389028149
48,Bowbridge,http://environment.data.gov.uk/hydrology/id/measures/d929f1d2-7ae8-41fe-9a29-ced07436b1f0-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/d929f1d2-7ae8-41fe-9a29-ced07436b1f0-gw-logged-i-subdaily-mAOD-qualified,512480,208960,51.768021,-0.371361,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,84.69039917,qualified,5734,2.098267071,2.94039917,1.294690837,10/1/1992,10/1/2023,32,31,No trend,-1.268148437,0.191340848,27,10/1/1997,10/1/2023,Thames,1140.12067,101,0.598277117
49,Bessacar,http://environment.data.gov.uk/hydrology/id/measures/81c80f86-c4ad-4bdf-b27c-f32f37f6bf87-gw-dipped-i-mAOD-qualified,,459345,401015,53.502478,-1.106766,Triassic Sandstone,Highly productive aquifer,Significant intergranular flow,3.566347599,qualified,395,0.78662608,1.526347599,0.096347599,10/1/1980,10/1/2023,44,43,No trend,-1.399038462,0.729489878,38,10/1/1986,10/1/2023,Midlands,1408.341236,2501,0.129494575
50,Chalton,http://environment.data.gov.uk/hydrology/id/measures/25fd56b7-6e65-482c-90b1-a69902d88d48-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/25fd56b7-6e65-482c-90b1-a69902d88d48-gw-logged-i-subdaily-mAOD-qualified,473130,116050,50.939263,-0.960553,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,94.72647858,qualified,5710,51.61316678,58.92814525,31.72147858,10/1/2003,10/1/2023,21,19,Slow increasing,-14.1472954,0.071614913,21,10/1/2003,10/1/2023,Southern,253.5907659,101,1.239965349
51,Old Hall,http://environment.data.gov.uk/hydrology/id/measures/d45d95d5-847b-410e-9618-69860310a1c3-gw-dipped-i-mAOD-qualified,,617582,336920,52.885684,1.23255,Crag,Moderately productive aquifer,Significant intergranular flow,40.27621078,qualified,360,1.217266336,2.94621078,-0.14378922,10/1/1984,10/1/2023,40,36,No trend,-0.213716108,0.102152086,2,10/1/1997,10/1/1998,Anglian,68.87839308,1001,0.483986857
52,Main Road Croxton,http://environment.data.gov.uk/hydrology/id/measures/f300d0dd-d3be-49ef-af28-3f5af32cf946-gw-dipped-i-mAOD-qualified,,587348,286367,52.443135,0.755079,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,51.86093903,qualified,251,39.39492309,41.96093903,35.53093903,10/1/1998,10/1/2023,26,23,Slow decreasing,5.55,0.193921842,2,10/1/2003,10/1/2004,Anglian,310.3130271,5001,0.308023842
53,Rats Pen Lane Chalk,http://environment.data.gov.uk/hydrology/id/measures/a4b12b29-58c5-4b41-b67d-9bdb60dcf0e5-gw-dipped-i-mAOD-qualified,,539445,382465,53.320738,0.092009,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,16.02823448,qualified,380,8.294866059,9.76823448,7.25823448,10/1/1981,10/1/2023,43,36,No trend,0.819249784,0.117423543,30,10/1/1981,10/1/2010,Anglian,44.50567395,751,0.318412965
54,Myddlewood,http://environment.data.gov.uk/hydrology/id/measures/2d265b93-730b-4da9-9351-2e61781fdd18-gw-dipped-i-mAOD-qualified,,346045,323415,52.805564,-2.8018,Triassic Sandstone,Highly productive aquifer,Significant intergranular flow,99.89665985,qualified,522,38.11620966,39.59665985,36.59665985,10/1/1975,10/1/2022,48,46,Sudden downward change,3.789044289,0.8937178,9,10/1/1986,10/1/1994,Midlands,54.07280362,1001,0.370850855
55,Slough Farm,http://environment.data.gov.uk/hydrology/id/measures/d432e07c-df09-4c29-987a-cefe16db7154-gw-dipped-i-mAOD-qualified,,604921,227489,51.908222,0.977731,Chalk,Rocks with essentially no groundwater,,35.01277542,qualified,213,32.5662496,37.33277542,30.63277542,10/1/1972,10/1/2023,52,34,Slow increasing,-4.044117647,0.570677392,33,10/1/1972,10/1/2004,Anglian,750.4694961,1001,0.200858233
56,Marlston Farm,http://environment.data.gov.uk/hydrology/id/measures/98e79ed7-ff97-4fdc-b51e-fede9c58d3bd-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/98e79ed7-ff97-4fdc-b51e-fede9c58d3bd-gw-logged-i-subdaily-mAOD-qualified,453385,171915,51.443713,-1.233251,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,75.01563263,qualified,9169,5.424210986,8.15563263,2.712174297,10/1/1973,10/1/2023,51,50,No trend,-0.947080879,0.077433045,51,10/1/1973,10/1/2023,Thames,285.8142319,51,0.743989257
