No,label,dipped,logged,easting,northing,lat,long,Elevation,data amount (daily sample),data amount (annual sample),obsrevation start year,obsrevation end year,obsrevation span,mean_depth,max_depth,min_depth
14,North Stoke,http://environment.data.gov.uk/hydrology/id/measures/874af2fb-01ad-49d7-9f19-66ac3f81af32-gw-dipped-i-mAOD-qualified,,504055,111145,50.890425,-0.521948,81.01052094,247,23,2001,2023,23,76.15940353,80.38252094,67.66052094
15,Newlands Corner,,http://environment.data.gov.uk/hydrology/id/measures/8b4ac0c3-2c32-4a99-badc-ffc5f29937a7-gw-logged-i-subdaily-mAOD-qualified,504229,149246,51.232887,-0.50851,171.5480652,3620,14,2009,2022,14,87.38007407,89.6621902,82.89760687
16,Grange Farm West Wratting,http://environment.data.gov.uk/hydrology/id/measures/9a6ac583-0119-47dc-8fb5-ceca5bd64701-gw-dipped-i-mAOD-qualified,,559541,251790,52.141359,0.329989,94.82769775,252,24,1998,2023,26,30.78626918,34.24769775,26.97769775
17,Lea Farm,http://environment.data.gov.uk/hydrology/id/measures/dabd21c4-9859-4ff5-9fef-d3c87b599c13-gw-dipped-i-mAOD-qualified,,380705,303245,52.626608,-2.286477,92.50495148,547,38,1976,2013,38,1.408735758,3.14495148,0.07495148
18,Ingleby,http://environment.data.gov.uk/hydrology/id/measures/457093ef-ac0a-491d-811f-64f6463a16a0-gw-dipped-i-mAOD-qualified,,434675,326585,52.835662,-1.486714,74.46276855,109,11,2012,2023,12,27.22744745,29.49276855,23.44276855
19,Thames Head,http://environment.data.gov.uk/hydrology/id/measures/09a754a3-62c0-4831-abe0-483948ea127f-gw-dipped-i-mAOD-qualified,,398635,198815,51.688083,-2.021137,108.0771637,709,62,1961,2023,63,8.611084716,13.4971637,3.4071637
20,Moss Edge Farm,,http://environment.data.gov.uk/hydrology/id/measures/b9140362-747d-4350-b55f-3b741ec6d8ab-gw-logged-i-subdaily-mAOD-qualified,343971,449275,53.936531,-2.854924,5.284296989,10050,58,1965,2022,58,1.315774076,3.180963656,0.294296989
21,East Leake,http://environment.data.gov.uk/hydrology/id/measures/3a9317a1-7eaa-4539-9bdd-8a187ff17c0d-gw-dipped-i-mAOD-qualified,,455875,328555,52.851593,-1.171711,63.97527313,592,41,1978,2023,46,39.05375286,43.33527313,33.44527313
23,Roman Road,,http://environment.data.gov.uk/hydrology/id/measures/1cdd6e48-7bcb-4f32-b8a8-3500a8a352b0-gw-logged-i-subdaily-mAOD-qualified,346853,242483,52.078135,-2.776907,67.17160034,10817,52,1972,2023,52,6.53921466,10.32560034,1.641954507
24,Hyde Cottages Risby,http://environment.data.gov.uk/hydrology/id/measures/ea15dfcd-00b7-41d9-91b6-c4fc325d9cb8-gw-dipped-i-mAOD-qualified,,581533,266142,52.263468,0.658696,65.16894531,231,23,1998,2023,26,37.1502873,43.08894531,33.41894531
25,North Plantation,http://environment.data.gov.uk/hydrology/id/measures/1495a14c-d5d6-40fc-8af5-bde4773e781d-gw-dipped-i-mAOD-qualified,,578560,259851,52.207941,0.611861,106.7295685,213,23,1998,2023,26,41.10581263,41.7495685,40.4695685
26,Warnford Estate,http://environment.data.gov.uk/hydrology/id/measures/586fd8ee-afc0-46e1-9eda-cea9725c0ea1-gw-dipped-i-mAOD-qualified,,462135,122295,50.9967,-1.115951,68.60781097,123,21,1991,2023,33,0.942445116,1.22781097,0.60781097
27,Kemps Drift,http://environment.data.gov.uk/hydrology/id/measures/9610f73b-f3af-4ede-b4e7-ec615e7ab5a2-gw-dipped-i-mAOD-qualified,,448933,465244,54.080785,-1.253548,11.51841831,348,33,1991,2023,33,0.241346471,1.06841831,-0.18158169
28,Hungerdowns Farm,http://environment.data.gov.uk/hydrology/id/measures/ea3a67b3-3b5f-4ad0-ab68-5e45b7d288a2-gw-dipped-i-mAOD-qualified,,607216,229729,51.927485,1.012393,36.98066711,507,49,1974,2023,50,4.588073422,5.91066711,2.63066711
29,Caldecote Farm,http://environment.data.gov.uk/hydrology/id/measures/83f8884f-6268-46fa-aca9-2ccc0155518a-gw-dipped-i-mAOD-qualified,,574796,303460,52.600799,0.57959,9.904882431,107,23,1995,2023,29,2.567779627,3.134882431,1.604882431
30,Jackaments Bottom,http://environment.data.gov.uk/hydrology/id/measures/961c43fb-11e5-4b9a-8b73-c99d72146663-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/961c43fb-11e5-4b9a-8b73-c99d72146663-gw-logged-i-subdaily-mAOD-qualified,396769,197268,51.674166,-2.048116,105.9273071,12224,51,1973,2023,51,5.478451094,13.5773071,-1.0726929
31,Ponyfield,http://environment.data.gov.uk/hydrology/id/measures/c80a1d8e-8c0d-4547-85c5-dc70147c2cd6-gw-dipped-i-mAOD-qualified,,466175,397145,53.466884,-1.004626,10.55609322,523,48,1976,2023,48,14.21460182,16.72609322,12.51609322
32,Lydeards Hill,http://environment.data.gov.uk/hydrology/id/measures/09ce1fe7-a39d-444b-9c7e-51a841e3d1f3-gw-dipped-i-mAOD-qualified,,317966,134021,51.099598,-3.172945,348.3624268,321,32,1991,2023,33,25.27685048,34.9024268,16.3024268
33,Sutton Top Field Spinney,http://environment.data.gov.uk/hydrology/id/measures/ff0dd675-9937-42a2-a75c-5df6e369004b_3_032-gw-dipped-i-mAOD-qualified,,509075,300045,52.587267,-0.391421,19.1858139,266,26,1998,2023,26,3.883558261,4.9358139,0.8458139
34,Sutton Heath Road,http://environment.data.gov.uk/hydrology/id/measures/ff0dd675-9937-42a2-a75c-5df6e369004b_3_034-gw-dipped-i-mAOD-qualified,,509035,300235,52.588982,-0.391949,22.71084213,263,26,1998,2023,26,3.860804107,4.76084213,2.50084213
35,Woore,http://environment.data.gov.uk/hydrology/id/measures/149446b9-58b0-44d5-afa5-c6f7b8c9c873-gw-dipped-i-mAOD-qualified,,373135,342345,52.977763,-2.401535,148.4021606,366,40,1981,2022,42,12.04669612,12.7421606,11.2021606
36,Hurdcott,,http://environment.data.gov.uk/hydrology/id/measures/953dc0e6-a23e-49a9-a7b6-1e33675b470d-gw-logged-i-subdaily-mAOD-qualified,416690,133770,51.102988,-1.762997,55.37200928,4828,16,2007,2022,16,1.632006467,2.250772167,0.34919678
37,Hursley,http://environment.data.gov.uk/hydrology/id/measures/bcd03a7a-58ba-4eb8-a6e8-cf3ba5f18628-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/bcd03a7a-58ba-4eb8-a6e8-cf3ba5f18628-gw-logged-i-subdaily-mAOD-qualified,442828,124850,51.021431,-1.390752,46.95320892,7324,36,1986,2023,38,11.02740771,16.46275059,1.13445892
38,Blowing Stone Cottage,http://environment.data.gov.uk/hydrology/id/measures/614b0d21-b4c6-4640-8814-7d200002debb-gw-dipped-i-mAOD-qualified,,432320,187560,51.585969,-1.534902,127.7728119,1475,52,1965,2023,59,14.3588119,18.3628119,6.5128119
39,Mill Road,http://environment.data.gov.uk/hydrology/id/measures/852b7941-5861-43b3-be69-c7d827d8e016-gw-dipped-i-mAOD-qualified,,565789,308887,52.652362,0.44945,25.75464821,246,24,1998,2023,26,7.633794551,8.30464821,6.72464821
40,Water Acre,http://environment.data.gov.uk/hydrology/id/measures/ead414df-153e-495c-938a-96a85655809a-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/ead414df-153e-495c-938a-96a85655809a-gw-logged-i-subdaily-mAOD-qualified,425845,177785,51.498413,-1.62907,145.401825,9202,49,1975,2023,49,11.46941789,24.341825,0.244408333
41,Upavon Deep,http://environment.data.gov.uk/hydrology/id/measures/0239b742-9636-4092-8ecd-485dbb4bc7d3_90115405-gw-dipped-i-mAOD-qualified,,413670,155000,51.293964,-1.805328,91.65601349,227,22,2002,2023,22,0.919581772,2.48601349,-0.83398651
42,Upavaon Shallow,http://environment.data.gov.uk/hydrology/id/measures/0239b742-9636-4092-8ecd-485dbb4bc7d3_90115406-gw-dipped-i-mAOD-qualified,,413650,155000,51.293964,-1.805615,91.69874573,228,22,2002,2023,22,1.218219414,1.97874573,0.12874573
43,Sherburn Quarry 3,http://environment.data.gov.uk/hydrology/id/measures/5bdcd238-08e1-4458-87a0-2fbb89005cd5-gw-dipped-i-mAOD-qualified,,448976,432699,53.7883,-1.258096,32.67578125,486,43,1981,2023,43,15.49550759,15.86578125,14.74778125
44,Berwick Bassett,http://environment.data.gov.uk/hydrology/id/measures/5296be5a-dc82-40ba-8c58-71e01f485298-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/5296be5a-dc82-40ba-8c58-71e01f485298-gw-logged-i-subdaily-mAOD-qualified,410831,173495,51.460324,-1.845486,169.6733551,8479,49,1974,2022,49,11.89865862,22.1433551,2.6391051
45,Amotherby,http://environment.data.gov.uk/hydrology/id/measures/b34aee74-6a3a-4543-a0b6-9a2250cdf38a-gw-dipped-i-mAOD-qualified,,475345,473167,54.148797,-0.847945,45.41613007,470,41,1982,2023,42,28.04200241,30.40613007,23.10613007
46,Brunstead Hall,,http://environment.data.gov.uk/hydrology/id/measures/001f4847-e0d9-4431-a25d-b31c7c5119db-gw-logged-i-subdaily-mAOD-qualified,637010,326810,52.786771,1.513409,7.726863384,4418,67,1952,2023,72,6.128383815,7.006863384,5.235780051
47,Moreton Lodge,,http://environment.data.gov.uk/hydrology/id/measures/e3e2735a-930f-48f1-8126-9f41a7bd7701-gw-logged-i-subdaily-mAOD-qualified,353845,323455,52.806649,-2.686111,109.8624115,7806,26,1998,2023,26,41.25735991,42.2345365,40.16511983
48,Bowbridge,http://environment.data.gov.uk/hydrology/id/measures/d929f1d2-7ae8-41fe-9a29-ced07436b1f0-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/d929f1d2-7ae8-41fe-9a29-ced07436b1f0-gw-logged-i-subdaily-mAOD-qualified,512480,208960,51.768021,-0.371361,84.69039917,5734,31,1992,2023,32,2.098267071,2.94039917,1.294690837
49,Bessacar,http://environment.data.gov.uk/hydrology/id/measures/81c80f86-c4ad-4bdf-b27c-f32f37f6bf87-gw-dipped-i-mAOD-qualified,,459345,401015,53.502478,-1.106766,3.566347599,395,43,1980,2023,44,0.78662608,1.526347599,0.096347599
50,Chalton,http://environment.data.gov.uk/hydrology/id/measures/25fd56b7-6e65-482c-90b1-a69902d88d48-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/25fd56b7-6e65-482c-90b1-a69902d88d48-gw-logged-i-subdaily-mAOD-qualified,473130,116050,50.939263,-0.960553,94.72647858,5710,19,2003,2023,21,51.61316678,58.92814525,31.72147858
51,Old Hall,http://environment.data.gov.uk/hydrology/id/measures/d45d95d5-847b-410e-9618-69860310a1c3-gw-dipped-i-mAOD-qualified,,617582,336920,52.885684,1.23255,40.27621078,360,36,1984,2023,40,1.217266336,2.94621078,-0.14378922
52,Main Road Croxton,http://environment.data.gov.uk/hydrology/id/measures/f300d0dd-d3be-49ef-af28-3f5af32cf946-gw-dipped-i-mAOD-qualified,,587348,286367,52.443135,0.755079,51.86093903,251,23,1998,2023,26,39.39492309,41.96093903,35.53093903
53,Rats Pen Lane Chalk,http://environment.data.gov.uk/hydrology/id/measures/a4b12b29-58c5-4b41-b67d-9bdb60dcf0e5-gw-dipped-i-mAOD-qualified,,539445,382465,53.320738,0.092009,16.02823448,380,36,1981,2023,43,8.294866059,9.76823448,7.25823448
54,Myddlewood,http://environment.data.gov.uk/hydrology/id/measures/2d265b93-730b-4da9-9351-2e61781fdd18-gw-dipped-i-mAOD-qualified,,346045,323415,52.805564,-2.8018,99.89665985,522,46,1975,2022,48,38.11620966,39.59665985,36.59665985
55,Slough Farm,http://environment.data.gov.uk/hydrology/id/measures/d432e07c-df09-4c29-987a-cefe16db7154-gw-dipped-i-mAOD-qualified,,604921,227489,51.908222,0.977731,35.01277542,213,34,1972,2023,52,32.5662496,37.33277542,30.63277542
56,Marlston Farm,http://environment.data.gov.uk/hydrology/id/measures/98e79ed7-ff97-4fdc-b51e-fede9c58d3bd-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/98e79ed7-ff97-4fdc-b51e-fede9c58d3bd-gw-logged-i-subdaily-mAOD-qualified,453385,171915,51.443713,-1.233251,75.01563263,9169,50,1973,2023,51,5.424210986,8.15563263,2.712174297
57,Royalty Farm,http://environment.data.gov.uk/hydrology/id/measures/f6487e6c-c35b-4fb0-851f-37e13d945bde-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/f6487e6c-c35b-4fb0-851f-37e13d945bde-gw-logged-i-subdaily-mAOD-qualified,393640,647458,55.720481,-2.102801,56.28503799,4432,34,1990,2023,34,11.98939962,13.69503799,10.23349632
58,Wested Farm,http://environment.data.gov.uk/hydrology/id/measures/9e1cff99-fda7-4e21-b8b7-74a386a20bd2-gw-dipped-i-mAOD-qualified,,551843,166864,51.380518,0.180509,99.65593719,1798,62,1962,2023,62,57.09161572,58.85593719,54.84593719
59,Trowley Bottom Farm,http://environment.data.gov.uk/hydrology/id/measures/7af4d245-cf17-455e-bfdc-6c5fcd42df1b-gw-dipped-i-mAOD-qualified,,507710,213850,51.812908,-0.438941,116.9633026,494,49,1974,2023,50,10.87224997,18.9533026,5.0333026
60,Glynch 3,,http://environment.data.gov.uk/hydrology/id/measures/327c5a5d-b990-4dc3-9c45-e45844f7e63b_26348-gw-logged-i-subdaily-mAOD-qualified,374319,233620,52.000414,-2.375479,52.7105217,2591,10,2013,2022,10,19.55294024,21.56718837,16.8580217
61,Pipe Green,http://environment.data.gov.uk/hydrology/id/measures/73ce392f-0891-4233-b9c0-98ecfaf1e557-gw-dipped-i-mAOD-qualified,,410622,309643,52.684369,-1.844301,82.61011505,348,32,1991,2022,32,1.561063326,3.13011505,0.74011505
62,Itteringham 2,http://environment.data.gov.uk/hydrology/id/measures/76e6589c-c776-40f0-bac1-6e962d336256-gw-dipped-i-mAOD-qualified,,613063,332152,52.844696,1.16238,46.5690155,318,32,1984,2023,40,15.58168846,16.6390155,14.7090155
63,Winchester Guildhall,http://environment.data.gov.uk/hydrology/id/measures/90fd2961-bed5-4105-90fd-96349115fcb6-gw-dipped-i-mAOD-qualified,,448505,129295,51.060948,-1.309225,36.06915283,274,24,2000,2023,24,2.666780567,3.41915283,1.28915283
64,Hambleton,http://environment.data.gov.uk/hydrology/id/measures/8ac175df-5d44-40c4-af14-5a7c46fdeaca-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/8ac175df-5d44-40c4-af14-5a7c46fdeaca-gw-logged-i-subdaily-mAOD-qualified,456331,431418,53.776045,-1.146705,7.065656185,11600,36,1988,2023,36,2.376575478,3.805656185,1.044031185
65,Cocker Bridge,http://environment.data.gov.uk/hydrology/id/measures/82562637-e59a-4e38-91e7-020a222caef2-gw-dipped-i-mAOD-qualified,,345255,451355,53.955361,-2.835742,5.025273323,414,44,1965,2022,58,0.562060763,1.675273323,-0.544726677
66,Lynstead,http://environment.data.gov.uk/hydrology/id/measures/49b43b86-1f00-4df0-b7e0-d16e1e0aab6a-gw-dipped-i-mAOD-qualified,,594652,160394,51.309359,0.791414,37.01755905,244,24,1999,2022,24,18.40896479,21.01755905,14.22755905
67,Cundall Sandstone,http://environment.data.gov.uk/hydrology/id/measures/4a854eb5-c5c0-414c-8715-cebd4085ca89-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/4a854eb5-c5c0-414c-8715-cebd4085ca89-gw-logged-i-subdaily-mAOD-qualified,442090,472497,54.14657,-1.357128,18.49160576,11480,38,1986,2023,38,2.130965575,2.939939093,1.252772427
69,Whitworth Hall,http://environment.data.gov.uk/hydrology/id/measures/72a62131-cf35-4f65-b5f7-a9fb3d043612-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/72a62131-cf35-4f65-b5f7-a9fb3d043612-gw-logged-i-subdaily-mAOD-qualified,423711,535011,54.709543,-1.633509,89.8429184,6789,23,2000,2023,24,37.62520878,53.37750173,33.8829184
70,Painsbrook,,http://environment.data.gov.uk/hydrology/id/measures/7b8dee44-4fc6-4218-96b5-f9b966335190-gw-logged-i-subdaily-mAOD-qualified,353185,320925,52.783851,-2.695538,72.84960938,3095,10,2008,2022,15,5.617563885,7.98460938,4.50460938
71,Bow Wow,http://environment.data.gov.uk/hydrology/id/measures/ba4127b8-b925-42df-b859-0932394be0bc-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/ba4127b8-b925-42df-b859-0932394be0bc-gw-logged-i-subdaily-mAOD-qualified,405535,197635,51.67745,-1.921342,89.21156311,1134,19,2003,2023,21,0.964645369,1.90156311,0.489854777
74,Aughton Cliffs Farm,http://environment.data.gov.uk/hydrology/id/measures/2c456f7e-37b7-45cd-bf6c-a103bd12ccb2-gw-dipped-i-mAOD-qualified,,338185,409275,53.5764,-2.935024,19.20391846,119,33,1983,2022,40,10.19190165,24.05391846,0.96391846
75,Pipstile Farm Uphampton,http://environment.data.gov.uk/hydrology/id/measures/9adbd1d5-96aa-4eb6-b578-b9e4de87aee7-gw-dipped-i-mAOD-qualified,,383541,264701,52.280196,-2.242666,66.90311432,697,49,1973,2022,50,5.15060356,7.68311432,2.11311432
76,Challenge Farm,http://environment.data.gov.uk/hydrology/id/measures/196f85be-141a-411b-a59b-f6723ca0e889-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/196f85be-141a-411b-a59b-f6723ca0e889-gw-logged-i-subdaily-mAOD-qualified,580808,160497,51.314848,0.593064,162.7789154,3483,36,1984,2022,39,93.52625037,95.19724873,91.1589154
77,Frome,http://environment.data.gov.uk/hydrology/id/measures/6857fd53-b4fa-4871-8a02-19a32297d594-gw-dipped-i-mAOD-qualified,,377287,149764,51.246587,-2.326782,60.13240814,829,49,1974,2023,50,4.285805808,6.13240814,2.00240814
78,Shortheath Pond,http://environment.data.gov.uk/hydrology/id/measures/ace4c039-beca-4a57-823b-8520c579c504-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/ace4c039-beca-4a57-823b-8520c579c504-gw-logged-i-subdaily-mAOD-qualified,477560,136820,51.125417,-0.893077,74.02702332,6446,22,2001,2023,23,0.643301746,1.21902332,-0.378935013
79,Hornsea,http://environment.data.gov.uk/hydrology/id/measures/220de642-8e8f-49a8-8c7f-91730d87444d-gw-dipped-i-mAOD-qualified,,518302,448799,53.921812,-0.200043,19.15652275,490,45,1978,2023,46,2.621114587,5.72652275,0.18652275
80,Crudwell,http://environment.data.gov.uk/hydrology/id/measures/a8c57c07-a2de-4dc9-88c5-953b3c176cb7-gw-dipped-i-mAOD-qualified,,395655,192785,51.633851,-2.064169,95.53489685,537,42,1982,2023,42,8.713407092,24.16489685,1.70489685
81,Wrelton Paddock,http://environment.data.gov.uk/hydrology/id/measures/f4f9e29a-67e5-43a6-a9dc-e9fc88ef73a4-gw-dipped-i-mAOD-qualified,,476580,485934,54.263332,-0.825793,41.52085114,454,41,1982,2023,42,11.48296568,13.85085114,6.85085114
82,Black Hall Farm,http://environment.data.gov.uk/hydrology/id/measures/f56bcdea-cec6-445f-858e-7eb3e28c13e1-gw-dipped-i-mAOD-qualified,,427625,287725,52.48674,-1.594605,118.1890106,208,20,2003,2022,20,12.45331348,14.4790106,10.2190106
83,Cockley Cley Copse,http://environment.data.gov.uk/hydrology/id/measures/53aad76b-6d76-43b2-bfe5-23751dbc87d0-gw-dipped-i-mAOD-qualified,,579672,303892,52.60309,0.65174,34.00589752,103,23,1995,2023,29,13.11914995,14.88589752,11.93089752
84,Westpoint,,http://environment.data.gov.uk/hydrology/id/measures/37624cbe-e179-4f97-8901-2c1d1454c1db-gw-logged-i-subdaily-mAOD-qualified,298697,91240,50.711934,-3.436166,24.96103096,5505,16,2006,2021,16,4.664494003,5.67121846,3.939708043
85,West Cowick,http://environment.data.gov.uk/hydrology/id/measures/8d99a6b7-3f8a-4400-8890-c46c13c73521-gw-dipped-i-mAOD-qualified,,464601,421302,53.684177,-1.023343,5.946015835,359,31,1993,2023,31,0.98058408,3.446015835,-0.174984165
86,Iwerne Hill Farm,,http://environment.data.gov.uk/hydrology/id/measures/b35221a6-1049-4e08-9919-3a10ad732bc6-gw-logged-i-subdaily-mAOD-qualified,388580,114420,50.929113,-2.163861,186.0513611,5297,15,2008,2022,15,81.73731896,86.61802777,71.37063193
87,Old Well House,,http://environment.data.gov.uk/hydrology/id/measures/1a4e369e-8a73-4f97-a001-531ea596d3ad-gw-logged-i-subdaily-mAOD-qualified,545070,153800,51.264897,0.077943,119.5168381,6587,23,1993,2020,28,20.77040772,25.2358381,16.1970881
88,Croxton Heath,http://environment.data.gov.uk/hydrology/id/measures/2a5dd70d-52b1-4c00-bf20-1028b59326d1-gw-dipped-i-mAOD-qualified,,589145,288195,52.458931,0.78252,37.97511673,204,23,1998,2023,26,10.57982261,15.23511673,5.44511673
89,Sproxton,http://environment.data.gov.uk/hydrology/id/measures/5852df4d-b7da-4af7-a422-1ad4b28d5332-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/5852df4d-b7da-4af7-a422-1ad4b28d5332-gw-logged-i-subdaily-mAOD-qualified,462352,481645,54.22672,-1.045082,71.12849426,13256,51,1972,2023,52,26.15446405,29.36849426,21.41182759
90,Mayhouse Farm,http://environment.data.gov.uk/hydrology/id/measures/a41e0cb3-e54e-43ac-b052-610f601a0964-gw-dipped-i-mAOD-qualified,,386475,262865,52.26377,-2.199586,37.08323669,430,39,1983,2022,40,2.10879483,4.03323669,-0.66676331
91,Beenham,http://environment.data.gov.uk/hydrology/id/measures/814c9091-9ccc-4512-93ab-5fd08df8d2a0-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/814c9091-9ccc-4512-93ab-5fd08df8d2a0-gw-logged-i-subdaily-mAOD-qualified,459335,169345,51.420017,-1.148079,99.51280212,8756,45,1979,2023,45,47.8582351,50.07280212,45.74280212
92,Brislands Lane,http://environment.data.gov.uk/hydrology/id/measures/ae17284d-6603-4a4d-b4d6-3c0379c258e2-gw-dipped-i-mAOD-qualified,,465473,133500,51.097074,-1.066369,161.3292999,210,35,1982,2022,41,77.125538,84.7092999,67.8592999
93,Blackmore Farm,http://environment.data.gov.uk/hydrology/id/measures/47950d9b-0e6e-49bd-b91b-314465833a80-gw-dipped-i-mAOD-qualified,,426835,151855,51.26522,-1.61676,134.1482849,104,47,1966,2023,58,35.72982336,50.4182849,14.7382849
94,Fox Hall,http://environment.data.gov.uk/hydrology/id/measures/58ffea31-f875-40ef-8727-ff5692a7e6cf-gw-dipped-i-mAOD-qualified,,332235,325805,52.825485,-3.007123,77.65715027,456,44,1978,2022,45,0.517676586,1.24715027,-0.25284973
95,Jevington,http://environment.data.gov.uk/hydrology/id/measures/954b9841-6469-41cf-8597-487334362e72-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/954b9841-6469-41cf-8597-487334362e72-gw-logged-i-subdaily-mAOD-qualified,556341,101386,50.790961,0.216779,73.28177643,6228,41,1976,2023,48,41.66263636,46.28030768,18.29052643
96,Pickworth,http://environment.data.gov.uk/hydrology/id/measures/b8cad42f-338d-48da-9ec7-ab923e5c7fca-gw-dipped-i-mAOD-qualified,,504095,334375,52.896741,-0.45402,55.0868187,635,43,1972,2023,52,29.94418878,34.3168187,20.8368187
98,Shawell Cottage,,http://environment.data.gov.uk/hydrology/id/measures/0a4f0d2c-7272-4a35-b486-baa48914ab2a_2848-gw-logged-i-subdaily-mAOD-qualified,349345,320265,52.777571,-2.752364,106.4843445,3747,17,1997,2023,27,41.66977502,45.1268445,40.63767783
99,Shawbury Park Wood,,http://environment.data.gov.uk/hydrology/id/measures/0a4f0d2c-7272-4a35-b486-baa48914ab2a_5006-gw-logged-i-subdaily-mAOD-qualified,355825,319105,52.767714,-2.656152,67.76834869,8092,26,1998,2023,26,8.215863093,8.742640357,7.552140357
102,Ermin Farm,http://environment.data.gov.uk/hydrology/id/measures/767dc62b-76c6-446e-95ee-c5adcb24669a-gw-dipped-i-mAOD-qualified,,405544,199659,51.695648,-1.92118,112.9208221,428,37,1987,2023,37,23.90416322,31.1108221,17.1908221
