No,label,trend classification,aquifer,regions,Spatial heterogeneity_5km,Spatial heterogeneity_no station nearby5km,Population density_MSOA,Population density_5km circle averaged,Irrigation intensity,long-term average groundwater recharge
145,Wilmington Grammar,Slow increasing,Lower Greensand,Southern,no station nearby,heterogeneous trends,809.1,2115.768011,1,0.490516765
146,Dowlands Tangley,No trend,Chalk,Southern,,,100.7,105.1835938,1,1.088979844
147,Eve Stud,Slow increasing,Chalk,Anglian,homogeneous trends,homogeneous trends,80.8,86.99495652,5001,0.101322467
150,The Soapworks,No trend,Triassic Sandstone,North West,,,4413.7,4941.620278,101,0.38125332
151,Clap Gate Cottage,No trend,Chalk,Southern,,,83.7,85.92842909,1,0.9584702
152,Quickset Road,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,81.2,99.51277419,5001,0.107625637
153,Perrotts Brook,No trend,Oolites,Thames,,,28,194.6280935,51,0.809726926
154,Greatwood Farm,No trend,Unallocated to aquifers,Midlands,,,71.6,71.73843159,251,0.737655799
155,Newmans Yard,No trend,Chalk,Anglian,,,886.9,142.0011322,1001,0.493229951
156,Little London Bramdean,No trend,Chalk,Southern,,,88.2,87.87074394,1,1.11005575
157,School Lane,No trend,Chalk,Southern,,,195.1,398.7543659,1,0.52535308
158,Trafalgar square,Slow increasing,Chalk,Thames,homogeneous trends,homogeneous trends,2544.4,11773.5324,251,0.025185765
159,Seascale Hall,No trend,Triassic Sandstone,North West,,,29.2,29.2,1,1.562164001
160,Carley Hill,Slow increasing,Magnesian Limestone,North East,no station nearby,no station nearby,2858.5,2619.770622,1,0.298796314
161,Ixworth Thorpe,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,56.4,69.28947516,5001,0.264757057
162,Swan Carr,Sudden upward change,Magnesian Limestone,North East,,,74.2,303.3066232,251,0.33672863
163,Chipley,No trend,Unallocated to aquifers,South West,,,66.1,182.5124098,51,1.233020396
164,Vauxhall Road,No trend,Triassic Sandstone,North West,,,2092.6,5253.566562,101,0.272630709
165,North Dean House,Slow decreasing,Chalk,Thames,homogeneous trends,homogeneous trends,440.2,714.9730999,51,0.920892586
166,Wilgate Green,Slow decreasing,Lower Greensand,Southern,heterogeneous trends,heterogeneous trends,90.7,281.3677158,251,0.650750037
167,Hut and Lodge Farm,Slow increasing,Lower Greensand,South West,no station nearby,heterogeneous trends,45.9,55.14810851,51,1.180793764
168,Pettaugh,Slow increasing,Crag,Anglian,no station nearby,no station nearby,57.4,56.95768427,2501,0.224089412
169,Abbotscroft Farm,No trend,Chalk,Southern,,,116.8,103.1883483,1,1.084987031
170,Campdenhill Farm,No trend,Triassic Sandstone,Midlands,,,85.9,89.72379056,501,0.726637336
171,Allford Brook,No trend,Unallocated to aquifers,Midlands,,,70.1,72.83920496,1001,0.348421058
172,Highwood Farm,No trend,Chalk,Thames,,,701.6,785.1701275,51,1.021617776
173,Capel Church Farm,No trend,Chalk,Southern,,,210.7,773.3551718,1001,1.079840652
174,Hutton Villa,Sudden upward change,Magnesian Limestone,North East,,,74.2,190.7198911,251,0.33672863
175,Holly Lodge,Slow increasing,Magnesian Limestone,Midlands,heterogeneous trends,homogeneous trends,235.9,641.1610676,2501,0.669990449
176,Butterbache,No trend,Triassic Sandstone,North West,,,1128.7,1179.835327,1,0.345363891
177,Asthall Barrow Farm,No trend,Oolites,Thames,,,57.5,312.0678377,51,0.556817695
178,Renwick,Slow increasing,Permian Sandstone,North West,no station nearby,heterogeneous trends,15.2,15.64554883,1,1.643606809
179,Wrottesley 1,Slow increasing,Triassic Sandstone,Midlands,heterogeneous trends,heterogeneous trends,352.5,329.3739404,1001,0.534420999
180,Scamblesby,Sudden downward change,Spilsby Sandstone,Anglian,,,25,21.79842153,751,0.570054838
183,Ainsdale High School,No trend,Triassic Sandstone,North West,,,971.2,967.4226659,1,0.655384277
184,Little London,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,286.7,364.3235502,251,0.983390953
185,Bishop Burton Wold,Slow increasing,Chalk,North East,heterogeneous trends,homogeneous trends,240.6,133.1871301,51,0.596741189
186,Westwell,Slow increasing,Oolites,Thames,no station nearby,homogeneous trends,57.5,45.79419257,251,0.667514459
187,Furnace Grange,Slow decreasing,Triassic Sandstone,Midlands,heterogeneous trends,heterogeneous trends,169.6,604.8564659,1001,0.556774822
188,Formby Golf Club,No trend,Triassic Sandstone,North West,,,492.1,679.459842,101,0.312262141
189,South Wonston,Slow increasing,Chalk,Southern,homogeneous trends,homogeneous trends,240.3,162.9026519,1,0.913951371
190,Frodsham Marsh,Slow increasing,Triassic Sandstone,North West,heterogeneous trends,homogeneous trends,439.8,555.1255076,1,0.067748004
191,Coven Lane,Slow increasing,Triassic Sandstone,Midlands,heterogeneous trends,homogeneous trends,957.3,1284.336289,251,0.378571586
192,Burderop Down,Slow increasing,Chalk,Thames,heterogeneous trends,heterogeneous trends,280,146.2944025,51,0.840930686
193,Tilshead High Street,Slow decreasing,Chalk,South West,heterogeneous trends,heterogeneous trends,78.9,66.13003219,51,0.826331145
194,Cabourne Parva,No trend,Spilsby Sandstone,Anglian,,,43.5,49.11727891,1001,0.330439245
195,Whiteways Lodge,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,78.8,91.09775179,1001,1.196321978
196,Hall Farm Euston,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,56.4,69.17257387,5001,0.340334854
197,Snape Hill,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,77.1,82.95791036,5001,0.375459506
198,Oxford,No trend,Corallian Limestone,Thames,,,111.8,1296.275839,251,0.048137346
199,Wooton Lodge,No trend,Triassic Sandstone,Midlands,,,62.3,76.27861278,51,0.855217314
200,Wrington,Slow increasing,Carboniferous Limestone,South West,no station nearby,heterogeneous trends,120.3,185.0656779,51,1.287784661
201,Spotted Cow,No trend,Oolites,Thames,,,116.2,102.2323306,251,0.677285292
202,Putteridge Bury,Slow decreasing,Chalk,Thames,no station nearby,homogeneous trends,91.7,1775.154856,101,0.498976633
203,Owlpen,No trend,Triassic Sandstone,Midlands,,,71.6,242.5158152,101,1.074798924
204,Poplar Farm South,Slow increasing,Chalk,North East,heterogeneous trends,homogeneous trends,240.6,824.7467296,51,0.373476683
205,Tiverton Road,No trend,Unallocated to aquifers,South West,,,2306.5,189.3571967,51,0.143637707
206,Stanford Water,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,25.2,29.49817885,5001,0.475906726
207,Redlands Farm,No trend,Chalk,Anglian,,,46.9,63.77216833,5001,0.321945768
208,Sharstead Farm,No trend,Chalk,Southern,,,1359.3,2323.999256,251,0.608409012
209,Pool Bridge,No trend,Triassic Sandstone,North East,,,55.3,57.76638162,251,0.328297934
210,Garboldisham,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,51.1,58.95287787,5001,0.468682816
211,Bully Hill,Slow increasing,Spilsby Sandstone,Anglian,no station nearby,no station nearby,47.2,46.86580833,1001,0.547074459
212,Wetwang,No trend,Chalk,North East,,,35.6,36.34496131,51,0.634602269
215,Houndean Bottom,No trend,Chalk,Southern,,,1373.5,355.4582339,1,1.040841125
216,Northend stud,No trend,Chalk,Anglian,,,558.1,337.0170208,5001,0.271851918
217,Barlow Station,Sudden downward change,Triassic Sandstone,North East,,,256.5,282.9395294,51,0.203991984
218,The Lodge Nocton,No trend,Oolites,Anglian,,,82.5,107.2832133,751,0.244275133
219,Doghouse Grove,No trend,Chalk,Anglian,,,222.2,139.6991327,1001,0.051821694
220,Fawley Green,Slow decreasing,Chalk,Thames,homogeneous trends,homogeneous trends,74.8,164.7879405,251,0.627085814
221,Tumby Park,No trend,Oolites,Anglian,,,36.9,120.7519482,751,0.064037336
222,Windy Oak,No trend,Unallocated to aquifers,Midlands,,,110.7,74.85943731,1001,0.46240201
223,Fox Covert,Slow increasing,Unallocated to aquifers,North East,no station nearby,no station nearby,33,164.5522195,1,0.406533069
225,Barcombe Farm,Slow increasing,Corallian Limestone,South West,no station nearby,heterogeneous trends,44.7,44.88829592,101,1.503866088
226,Woolton Farm,No trend,Oolites,Southern,,,110.5,641.3371866,1001,0.665256416
227,Cissbury Ring,No trend,Chalk,Southern,,,122.7,897.953891,1001,1.018804083
228,Court Barns Farm,Slow decreasing,Chalk,Anglian,homogeneous trends,homogeneous trends,80.8,189.8648637,5001,0.320118613
229,Rattling Court,No trend,Lower Greensand,Southern,,,436.2,176.5608207,1001,0.660681192
230,Granham Farm,No trend,Chalk,Thames,,,56,160.3575095,51,0.868134571
231,Shatcombe Lane,Slow increasing,Chalk,South West,no station nearby,heterogeneous trends,45.6,60.79479551,101,1.280818281
232,East Preston,No trend,Chalk,Southern,,,1737,1581.954882,1001,0.520570566
233,Wickham Lane,No trend,Oolites,Southern,,,110.5,195.4747745,1001,0.347678586
234,Smelting Mill,No trend,Triassic Sandstone,Midlands,,,117.2,135.2234448,51,0.973573626
235,Salt Pit Lane,No trend,Unallocated to aquifers,North West,,,269.4,268.7053098,1,0.755915238
236,College Wood,No trend,Chalk,Southern,,,276.5,463.2404554,251,0.755393721
237,Croftsmill Bridge,No trend,Triassic Sandstone,Midlands,,,64.3,203.5701747,251,0.425884537
238,Pickworth Plain,No trend,Oolites,Anglian,,,62,74.53048326,101,0.370921606
239,Breckles,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,65.6,63.03221086,5001,0.323925309
240,Houghton Down Farm,No trend,Chalk,Southern,,,45,45.45234963,1,0.852082367
241,LAMARSH,No trend,Chalk,Anglian,,,42.1,155.8717184,1001,0.421804531
242,Turnworth,No trend,Corallian Limestone,South West,,,46.5,57.62431414,101,1.232410402
243,Bembridge Fort,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,446.3,491.2528911,251,0.644678375
244,Mid Comp Farm,Slow decreasing,Lower Greensand,Southern,homogeneous trends,homogeneous trends,257.2,302.0894102,251,0.888895544
245,Wistanswick,Slow increasing,Unallocated to aquifers,Midlands,no station nearby,no station nearby,70.1,132.6991029,1001,0.393760417
246,Serlby Park,No trend,Triassic Sandstone,Midlands,,,324.8,222.9472379,2501,0.441755757
248,Kelleythorpe,No trend,Chalk,North East,,,35.6,148.3573323,51,0.489601101
249,Haverhill,No trend,Lower Greensand,Anglian,,,2572.1,403.3716925,1001,0.086287175
250,Victory Quarry,Slow increasing,Carboniferous Limestone,Midlands,no station nearby,heterogeneous trends,54.9,255.9515702,1,2.153524014
251,Chalfont Centre,No trend,Chalk,Thames,,,824.4,719.8529395,101,0.580438622
253,Clement Street,No trend,Lower Greensand,Southern,,,809.1,1362.177435,1,0.400583994
254,Tangmere Road Deep,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,331.2,548.4899051,1001,0.445885397
255,Tangmere Road Shallow,No trend,Chalk,Southern,,,331.2,547.1137359,1001,0.445885397
256,Oakley,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,184.9,591.8302445,1,0.848317035
257,Clive Mine,Sudden upward change,Triassic Sandstone,Midlands,,,56.6,84.82173188,251,0.979560442
258,Ashengrove Farm,Slow increasing,Chalk,Southern,homogeneous trends,homogeneous trends,58.5,113.0387976,251,1.188334904
259,Acton,No trend,Chalk,Anglian,,,105.6,229.3083886,1001,0.298338724
260,Gnosall,Slow decreasing,Triassic Sandstone,Midlands,heterogeneous trends,homogeneous trends,73.4,81.0721364,1001,0.52227004
261,Alcester Road,Slow increasing,Triassic Sandstone,Midlands,no station nearby,no station nearby,2279.1,446.6407813,501,0.097031758
262,Southfield House Whatley,Slow increasing,Carboniferous Limestone,South West,no station nearby,heterogeneous trends,64.5,259.7063661,51,1.292042736
263,Gobions Wood,No trend,Chalk,Thames,,,290.1,683.1850395,101,0.072516357
264,Soundess House,No trend,Chalk,Thames,,,55.9,94.25878722,251,0.667942329
265,Shrodells Hospital,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,9653.3,2356.282273,101,0.525188125
268,Lynwood,No trend,Chalk,Thames,,,562.2,649.0918149,101,0.502688585
269,MacMillan Way,Slow increasing,Oolites,Thames,homogeneous trends,homogeneous trends,71.6,111.4859537,251,0.857111762
270,BNFL,Sudden upward change,Triassic Sandstone,North West,,,157.7,676.6478497,1,0.746645745
271,Etton Wold House,No trend,Chalk,North East,,,52,91.72454819,51,0.643919017
272,Occold,No trend,Crag,Anglian,,,69.6,64.0352242,1001,0.257762476
273,Mill Farm,No trend,Chalk,Anglian,,,81.1,62.8147345,1001,0.069356554
275,Great Revel End Farm,No trend,Chalk,Thames,,,129.3,797.5709818,101,0.662544814
276,Springfield Road,Slow increasing,Lower Greensand,Thames,no station nearby,homogeneous trends,2709.6,344.6407561,51,0.550702546
277,Water End farm,No trend,Chalk,Anglian,,,25.2,40.57591692,5001,0.472298894
278,Bishopstone Deep,No trend,Chalk,Southern,,,1151.2,732.0786994,1,0.81686409
279,Bishopstone Shallow,No trend,Chalk,Southern,,,1151.2,733.1478346,1,0.81686409
283,Jossenblock Farm,No trend,Chalk,Southern,,,677.8,433.6244173,1001,0.835709693
284,Sandboils Chalk,No trend,Chalk,Southern,,,438.8,247.4097858,101,0.872195767
286,Myddleton Lane,Slow increasing,Permian Sandstone,North West,heterogeneous trends,heterogeneous trends,334.9,1453.195625,101,0.719913984
287,Forstal Farm,No trend,Chalk,Southern,,,110.3,112.9018868,1001,0.243905275
288,Gallows Hall,No trend,Lower Greensand,Anglian,,,66.2,68.08451578,1001,0.089329816
289,Coleshill,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,299.9,555.1951369,101,0.76702447
290,Bishop Middleham,Sudden upward change,Magnesian Limestone,North East,,,74.2,279.0953658,251,0.474084568
292,Wangford,Slow decreasing,Chalk,Anglian,no station nearby,heterogeneous trends,128.1,128.7577532,5001,0.250751655
293,Upwaltham,Slow increasing,Chalk,Southern,heterogeneous trends,homogeneous trends,54,61.77194166,1001,1.79013033
294,North Leigh,Slow increasing,Oolites,Thames,no station nearby,heterogeneous trends,170.4,335.0660762,51,0.340489113
295,Kingston Hill Barn,No trend,Chalk,Thames,,,74.6,72.85110005,51,0.715406563
296,Brettenham Heath,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,51.1,71.760958,5001,0.429970526
297,Sleaford 1,No trend,Oolites,Anglian,,,1058.7,290.7896776,751,0.28785953
298,Abbots Clough,Slow increasing,Triassic Sandstone,North West,heterogeneous trends,homogeneous trends,223.1,235.0267685,101,0.422626245
299,Melbourne House,No trend,Crag,Anglian,,,986.3,252.6477799,1001,0.522290104
